idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
83,1786913642.147713,1786913642.152828,1786913644.228912,1545236110.881882,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
84,1786913646.147700,1786913646.152918,1786913647.920895,1545236112.901949,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
85,1786913648.147756,1786913648.152893,1786913650.915767,1545236113.881852,17,20,1,1,0,847,72,124895232,119.109375,,,0,,124895232,119.109375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
86,1786913652.147538,1786913652.152535,1786913654.629015,1545236115.921826,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
87,1786913656.147578,1786913656.152743,1786913657.912117,1545236117.901838,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
88,1786913658.147485,1786913658.152443,1786913660.594999,1545236118.881874,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
89,1786913662.147568,1786913662.152361,1786913664.480255,1545236120.901822,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
90,1786913666.147622,1786913666.152507,1786913667.911547,1545236122.921825,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
91,1786913668.147582,1786913668.152996,1786913670.592563,1545236123.921809,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
92,1786913672.147578,1786913672.152630,1786913674.254519,1545236125.901829,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
