dataset,run,idx,ros_stamp_s,cfg_nav,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,prompt_kv_seq_len,prompt_kv_mib,unguided_prompt_kv_mib,total_kv_mib,model_parameter_mib,cuda_peak_allocated_gib,cuda_peak_reserved_gib,cuda_peak_allocated_delta_mib,cuda_peak_reserved_delta_mib,kv_pct_of_peak_allocated,model_duration_s,input_camera_frames,gpu_energy_j,total_energy_j,total_tflop
MCity,kv/mcity_diff2,110,1545236162.921539,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.420994,4,47.729,155.748,64.032
MCity,kv/mcity_diff2,111,1545236164.881593,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.325434,4,46.188,149.711,64.135
MCity,kv/mcity_diff2,112,1545236166.881532,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.322045,4,45.870,149.487,64.049
MCity,kv/mcity_diff2,113,1545236168.901428,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.095433,4,42.479,136.770,63.998
MCity,kv/mcity_diff2,114,1545236170.901482,0,6,9,1,1,836,117.562500,,117.562500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.548707,1.534016,4,32.769,103.349,64.067
MCity,kv/mcity_diff2,115,1545236171.921480,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.429101,4,49.272,156.089,64.032
MCity,kv/mcity_diff2,116,1545236173.901414,0,9,12,1,1,839,117.984375,,117.984375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550676,1.873971,4,38.757,123.392,63.998
MCity,kv/mcity_diff2,117,1545236174.921466,0,12,15,1,1,842,118.406250,,118.406250,21130.612411,20.923217,21.177734,268.218750,0.000000,0.552645,2.209155,4,47.739,143.199,63.998
MCity,kv/mcity_diff2,118,1545236176.901428,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.321877,4,45.908,149.674,63.981
MCity,kv/mcity_diff2,119,1545236178.921368,0,19,22,1,1,849,119.390625,,119.390625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.557239,2.987267,4,56.633,188.683,64.032
