run,idx,ros_stamp_s,camera_rows_matched,odom_minus_camera_stamp_mean_s,odom_minus_camera_stamp_min_s,odom_minus_camera_stamp_max_s,camera_staleness_mean_s,camera_staleness_max_s,selected_count_min,buffer_len_max,received_count_max
diffusion_matched/mcity_diff2,16,1545235974.902918,1,-0.011719,-0.011719,-0.011719,0.000000,0.000000,4,12,282
diffusion_matched/mcity_diff2,17,1545235976.922934,1,0.010491,0.010491,0.010491,0.000000,0.000000,4,12,302
diffusion_matched/mcity_diff2,18,1545235978.882946,1,-0.028056,-0.028056,-0.028056,0.000000,0.000000,4,12,322
diffusion_matched/mcity_diff2,19,1545235979.922915,1,0.013181,0.013181,0.013181,0.000000,0.000000,4,12,332
diffusion_matched/mcity_diff2,20,1545235980.902993,1,-0.006088,-0.006088,-0.006088,0.000000,0.000000,4,12,342
diffusion_matched/mcity_diff2,21,1545235981.882960,1,-0.025229,-0.025229,-0.025229,0.000000,0.000000,4,12,352
diffusion_matched/mcity_diff2,22,1545235982.922967,1,0.016029,0.016029,0.016029,0.000000,0.000000,4,12,362
diffusion_matched/mcity_diff2,23,1545235984.882971,1,-0.022459,-0.022459,-0.022459,0.000000,0.000000,4,12,382
diffusion_matched/mcity_diff2,24,1545235985.902844,1,-0.001328,-0.001328,-0.001328,0.000000,0.000000,4,12,392
diffusion_matched/mcity_diff2,25,1545235988.902899,1,-0.098751,-0.098751,-0.098751,0.000000,0.000000,4,12,423
diffusion_matched/mcity_diff2,26,1545235989.902864,1,-0.097508,-0.097508,-0.097508,0.000000,0.000000,4,12,433
diffusion_matched/mcity_diff2,27,1545235990.922870,1,0.022934,0.022934,0.022934,0.000000,0.000000,4,12,442
diffusion_matched/mcity_diff2,28,1545235991.902853,1,-0.096067,-0.096067,-0.096067,0.000000,0.000000,4,12,453
diffusion_matched/mcity_diff2,29,1545235992.882976,1,-0.114661,-0.114661,-0.114661,0.000000,0.000000,4,12,463
diffusion_matched/mcity_diff2,30,1545235993.922772,1,-0.073977,-0.073977,-0.073977,0.000000,0.000000,4,12,473
diffusion_matched/mcity_diff2,31,1545235994.902849,1,-0.093372,-0.093372,-0.093372,0.000000,0.000000,4,12,483
diffusion_matched/mcity_diff2,32,1545235995.922783,1,-0.072162,-0.072162,-0.072162,0.000000,0.000000,4,12,493
diffusion_matched/mcity_diff2,33,1545235997.882877,1,-0.110546,-0.110546,-0.110546,0.000000,0.000000,4,12,513
diffusion_matched/mcity_diff2,34,1545235998.902751,1,-0.089555,-0.089555,-0.089555,0.000000,0.000000,4,12,523
diffusion_matched/mcity_diff2,35,1545236000.902746,1,-0.087911,-0.087911,-0.087911,0.000000,0.000000,4,12,543
diffusion_matched/mcity_diff2,36,1545236003.902715,1,-0.085144,-0.085144,-0.085144,0.000000,0.000000,4,12,573
diffusion_matched/mcity_diff2,37,1545236004.882754,1,-0.103844,-0.103844,-0.103844,0.000000,0.000000,4,12,583
diffusion_matched/mcity_diff2,38,1545236005.922679,1,-0.063020,-0.063020,-0.063020,0.000000,0.000000,4,12,593
diffusion_matched/mcity_diff2,39,1545236006.902815,1,-0.082324,-0.082324,-0.082324,0.000000,0.000000,4,12,603
diffusion_matched/mcity_diff2,40,1545236007.882821,1,-0.101068,-0.101068,-0.101068,0.000000,0.000000,4,12,613
